AbsRel,LPIPS,PSNR,batch,config,run,s_per_gen,task,view
0.06829556077718735,0.12427914142608643,19.79554557800293,0,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.09365631639957428,0.14327925443649292,17.60972785949707,0,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.13254167139530182,0.16669109463691711,18.670154571533203,1,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.035332728177309036,0.1280522495508194,20.568553924560547,1,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.17294447124004364,0.17097380757331848,18.267578125,2,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.06661871820688248,0.12465019524097443,19.603469848632812,2,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.04891962930560112,0.13181322813034058,18.896129608154297,3,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.07890679687261581,0.1372329294681549,21.311756134033203,3,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.0635330006480217,0.11302127689123154,19.43311882019043,4,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.07568608969449997,0.13068066537380219,20.80959701538086,4,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.04920467361807823,0.1066967248916626,22.64112091064453,5,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.07312428206205368,0.08474333584308624,22.84206199645996,5,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.10148517042398453,0.13399305939674377,19.86165428161621,6,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.05456388369202614,0.1077185794711113,19.69851303100586,6,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.0495433434844017,0.12299080193042755,20.12120246887207,7,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.0655728206038475,0.1164330393075943,20.689922332763672,7,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.06959819793701172,0.13148002326488495,20.430152893066406,8,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.047319911420345306,0.09495493024587631,20.47117042541504,8,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.04730585590004921,0.13058972358703613,18.795408248901367,9,T25,eval_6x_maskfix,24.736504864692687,apple,left
0.053459685295820236,0.10749232769012451,21.359460830688477,9,T25,eval_6x_maskfix,24.736504864692687,apple,right
0.05844639241695404,0.12427914142608643,19.79554557800293,0,T25c,eval_6x_maskfix,24.851880288124086,apple,left
0.08499196916818619,0.14327925443649292,17.60972785949707,0,T25c,eval_6x_maskfix,24.851880288124086,apple,right
0.1176098957657814,0.16669109463691711,18.670154571533203,1,T25c,eval_6x_maskfix,24.851880288124086,apple,left
0.034186944365501404,0.1280522495508194,20.568553924560547,1,T25c,eval_6x_maskfix,24.851880288124086,apple,right
0.09183549880981445,0.17097380757331848,18.267578125,2,T25c,eval_6x_maskfix,24.851880288124086,apple,left
0.04006552696228027,0.12465019524097443,19.603469848632812,2,T25c,eval_6x_maskfix,24.851880288124086,apple,right
